pm25	pm10
6.2	7.3
6.2	7.3
6.2	7.2
6.2	7.2
6.2	7.2
6.2	7.2
6.2	7.2
6.1	7.2
6.1	7.1
6.1	7.2
6.2	7.3
6.2	7.4
6.2	7.3
6.1	7.2
6.1	7
6.1	7.1
6.1	7.1
6	7.1
6.1	7.3
6.1	7.5
6.1	7.7
6.1	7.7
6.1	7.8
6.1	7.8
6	7.8
6	7.7
6	7.7
6	7.6
5.9	7.6
5.8	7.6
5.8	7.5
5.8	7.4
5.7	7.3
5.8	7.7
5.8	8.2
5.9	8.6
5.8	8.6
5.8	8.6
5.8	8.6
5.8	8.8
5.8	9.1
5.8	9.3
5.8	9.3
5.8	9.3
5.8	9.2
5.8	9.2
5.8	9.3
5.8	9.3
5.8	9.3
5.7	9.3
5.7	9.4
5.7	9.7
5.7	10.1
5.7	10.5
5.7	10.8
5.7	11.1
5.6	11.4
5.6	11.3
5.6	11.3
5.6	11.2
5.6	11.3
5.6	11.3
5.5	11.4
5.6	11.5
5.6	11.5
5.6	11.6
5.6	11.8
5.5	12
5.5	12.2
5.5	12.2
5.4	12.1
5.4	12.1
5.4	12.1
5.4	12.1
5.4	12.1
5.4	12.2
5.4	12.2
5.4	12.3
5.4	12.3
5.4	12.2
5.4	12.1
5.4	12
5.4	11.9
5.3	11.9
5.3	11.7
5.3	11.5
5.2	11.3
5.2	11.7
5.3	12
5.3	12.4
5.3	12.5
5.3	12.5
5.4	12.6
5.3	12.3
5.3	11.9
5.2	11.6
5.2	11.7
5.3	11.7
5.3	11.8
5.3	11.4
5.2	11
5.2	10.7
5.2	10.7
5.2	10.7
5.2	10.7
5.2	10.8
5.2	10.9
5.2	11
5.2	11.2
5.2	11.5
5.2	11.8
5.3	11.5
5.3	11.2
5.3	10.9
5.3	10.6
5.3	10.2
5.2	9.9
5.3	9.9
5.3	10
5.3	10
5.3	9.9
5.3	9.8
5.3	9.8
5.2	9.9
5.2	10
5.2	10.2
5.2	10
5.2	9.8
5.3	9.7
5.3	10
5.3	10.4
5.3	10.7
5.4	10.7
5.4	10.7
5.4	10.7
5.4	10.6
5.4	10.4
5.4	10.3
5.4	10.3
5.3	10.2
5.3	10.2
5.3	10.2
5.4	10.2
5.4	10.3
5.4	10.4
5.4	10.5
5.5	10.7
5.6	10.7
5.8	10.8
5.9	10.9
5.9	10.9
5.8	10.9
5.8	10.8
5.8	10.7
5.8	10.6
5.8	10.5
5.8	10.5
5.8	10.4
5.7	10.3
5.7	10.4
5.8	10.4
5.8	10.5
5.8	10.6
5.8	10.8
5.9	10.9
5.9	10.8
5.9	10.7
5.9	10.6
5.9	10.3
5.9	10.1
5.9	9.8
6	9.9
6	10.1
6.1	10.2
6	10.2
6	10.2
6	10.2
6	10.3
6	10.3
6	10.4
6	10.4
6	10.5
6	10.5
6	10.3
6.1	10.1
6.1	9.9
6.1	9.8
6.1	9.7
6.1	9.6
6.1	9.5
6.1	9.3
6.1	9.2
6	9.2
6	9.2
6	9.3
6	9.2
6	9.2
6	9.2
6	9.1
6	9.1
6	9
5.9	9
5.9	9
5.9	9
5.9	8.9
5.9	8.8
5.8	8.7
5.7	8.3
5.6	7.9
5.5	7.5
5.5	7.5
5.5	7.5
5.5	7.4
5.6	7.5
5.6	7.6
5.7	7.7
5.7	7.8
5.7	7.8
5.8	7.8
5.8	8
5.7	8.2
5.7	8.4
5.7	8.5
5.7	8.6
5.8	8.7
5.7	8.6
5.7	8.6
5.7	8.5
5.7	8.5
5.7	8.6
5.7	8.6
5.6	8.4
5.6	8.3
5.6	8.1
5.7	8.7
5.7	9.3
5.8	9.8
5.8	9.9
5.9	9.9
5.9	10
5.9	10
5.9	10.1
5.9	10.1
5.9	10.1
5.9	10.1
5.8	10.1
5.9	10.1
5.9	10.2
6	10.2
6	10
6	9.8
6	9.6
6	9.6
6	9.6
6	9.6
6	10
6	10.4
6.1	10.8
6.1	10.9
6.1	10.9
6.1	11
6.1	11.1
6.1	11.3
6.1	11.4
6.1	11.5
6.2	11.6
6.2	11.7
6.2	11.7
6.2	11.7
6.2	11.7
6.2	12.1
6.3	12.4
6.3	12.8
6.3	12.9
6.3	13
6.4	13.1
6.3	13.1
6.3	13.1
6.3	13
6.3	12.8
6.3	12.5
6.3	12.3
6.2	12.5
6.2	12.6
6.2	12.8
6.2	12.8
6.2	12.9
6.2	12.9
6.2	13.1
6.2	13.3
6.3	13.4
6.2	13.8
6.2	14.2
6.2	14.7
6.2	14.1
6.1	13.5
6	12.9
6	13.1
6	13.3
5.9	13.6
5.9	13.5
5.9	13.5
5.9	13.5
5.9	13.8
5.9	14.1
5.9	14.4
5.8	14.4
5.8	14.3
5.7	14.2
5.7	14.3
5.7	14.4
5.7	14.5
5.7	14.9
5.7	15.3
5.8	15.7
5.8	15.4
5.8	15.1
5.8	14.8
5.8	14.8
5.8	14.7
5.8	14.7
5.8	14.6
5.8	14.4
5.8	14.3
5.8	14.4
5.8	14.4
5.7	14.5
5.7	14.9
5.7	15.2
5.7	15.6
5.7	15.3
5.7	15
5.7	14.7
5.6	14.9
5.5	15.1
5.5	15.2
5.5	15.3
5.5	15.4
5.5	15.5
5.4	15.5
5.4	15.5
5.4	15.5
5.4	15.2
5.4	14.9
5.4	14.6
5.4	14.7
5.4	14.8
5.4	14.9
5.4	14.7
5.4	14.5
5.4	14.2
5.4	14
5.4	13.7
5.4	13.4
5.4	13.8
5.5	14.1
5.5	14.5
5.5	14.2
5.5	13.9
5.5	13.6
5.5	13.6
5.5	13.6
5.5	13.7
5.5	13.3
5.5	13
5.4	12.7
5.5	12.7
5.5	12.8
5.5	12.8
5.5	12.7
5.5	12.5
5.5	12.4
5.4	12
5.4	11.5
5.4	11.1
5.3	11
5.3	10.9
5.3	10.9
5.3	10.8
5.3	10.8
5.3	10.7
5.3	10.7
5.3	10.7
5.3	10.6
5.3	10.5
5.3	10.4
5.3	10.2
5.4	9.9
5.4	9.5
5.4	9.2
5.3	9.4
5.3	9.7
5.3	9.9
5.3	9.5
5.3	9
5.3	8.6
5.2	8.6
5.2	8.6
5.2	8.7
5.2	8.6
5.2	8.6
5.2	8.6
5.2	9
5.3	9.3
5.3	9.6
5.3	9.5
5.3	9.4
5.3	9.2
5.3	9.2
5.2	9.2
5.2	9.2
5.2	9
5.2	8.9
5.3	8.8
5.3	8.6
5.3	8.4
5.3	8.2
5.3	8.3
5.3	8.4
5.3	8.5
5.3	8.4
5.3	8.3
5.4	8.2
5.4	8.6
5.5	8.9
5.6	9.2
5.6	9.2
5.6	9.2
5.7	9.2
5.7	9.2
5.7	9.2
5.7	9.3
5.7	9.3
5.7	9.3
5.8	9.3
5.8	9.8
5.8	10.4
5.8	10.9
5.8	11
5.8	11.2
5.9	11.3
5.9	11.3
5.8	11.3
5.8	11.4
5.9	11.4
5.9	11.5
6	11.6
5.9	11.6
5.9	11.6
5.9	11.6
5.9	11.3
6	11.1
6	10.8
6.1	11.5
6.1	12.1
6.1	12.8
6.2	12.7
6.2	12.7
6.2	12.7
6.3	12.9
6.3	13.1
6.4	13.4
6.4	13
6.3	12.6
6.3	12.2
6.3	12.3
6.4	12.3
6.4	12.3
6.4	12.5
6.4	12.8
6.4	13
6.4	13
6.4	13
6.4	13
6.3	12.9
6.3	12.8
6.3	12.7
6.2	12.7
6.2	12.7
6.2	12.7
6.2	13
6.2	13.3
6.1	13.6
6	13.4
5.9	13.2
5.9	13
5.8	13.2
5.8	13.4
5.8	13.5
5.8	13.8
5.8	14.2
5.8	14.5
5.8	14.6
5.8	14.8
5.7	14.9
5.7	14.4
5.7	13.8
5.7	13.3
5.6	13.1
5.6	13
5.5	12.9
5.6	12.9
5.6	13
5.6	13
5.6	13
5.5	13
5.5	12.9
5.5	12.9
5.5	13
5.6	13
5.5	13
5.5	13.1
5.4	13.2
5.4	12.5
5.4	11.9
5.4	11.3
5.4	11.1
5.3	11
5.3	10.9
5.2	10.7
5.2	10.4
5.1	10.2
5.1	10.3
5.1	10.4
5.1	10.5
5.1	10.4
5	10.3
4.9	10.2
4.9	10
4.9	9.8
4.9	9.6
4.9	9.7
4.9	9.9
4.9	10.1
4.9	10.3
5	10.4
5	10.5
5	10.5
5	10.4
5	10.3
5	10.1
5	9.8
5	9.6
5.1	10.2
5.1	10.8
5.2	11.4
5.2	11.4
5.2	11.4
5.2	11.5
5.2	11.1
5.2	10.8
5.2	10.5
5.2	10.5
5.2	10.4
5.1	10.4
5.2	10.4
5.2	10.4
5.2	10.5
5.2	10.6
5.2	10.7
5.2	10.8
5.2	11
5.2	11.1
5.2	11.3
5.2	11.3
5.3	11.3
5.3	11.4
5.2	11.3
5.2	11.3
5.2	11.2
5.2	11.1
5.3	11
5.3	10.9
5.3	10.9
5.3	10.9
5.3	10.9
5.3	11
5.3	11
5.3	11.1
5.3	11.1
5.3	11.2
5.3	11.2
5.3	11.2
5.3	11.2
5.3	11.1
5.4	11.2
5.4	11.3
5.5	11.4
5.5	11.5
5.5	11.6
5.5	11.7
5.6	11.6
5.6	11.4
5.7	11.3
5.6	11.1
5.6	11
5.5	10.8
5.6	10.9
5.6	10.9
5.6	11
5.6	11
5.7	11
5.7	11
5.7	10.4
5.6	9.7
5.5	9.1
5.6	9.1
5.7	9.1
5.8	9
5.8	9.1
5.8	9.3
5.8	9.4
5.9	9.3
5.9	9.2
5.9	9.1
5.9	9.3
5.9	9.4
6	9.6
6	9.6
6	9.6
6.1	9.5
6.1	9.6
6.1	9.6
6.1	9.7
6.1	9.7
6.1	9.8
6.1	9.8
6.1	9.9
6.1	10
6.1	10.1
6.1	10.2
6.1	10.2
6.1	10.3
6.1	10.2
6.1	10.2
6.1	10.1
6.1	10.3
6.1	10.5
