pm25	pm10
5.4	11.2
5.4	11.2
5.4	11.2
5.5	11.3
5.5	11.4
5.5	11.5
5.5	11.4
5.5	11.3
5.5	11.2
5.6	11.2
5.6	11.3
5.6	11.3
5.6	12.3
5.7	13.4
5.7	14.4
5.7	14.3
5.6	14.3
5.6	14.2
5.6	14.3
5.6	14.3
5.7	14.3
5.6	14.4
5.6	14.5
5.6	14.6
5.7	14.7
5.7	14.8
5.7	14.9
5.7	15.4
5.7	15.8
5.6	16.3
5.6	16.4
5.6	16.5
5.6	16.6
5.6	16.1
5.6	15.7
5.6	15.2
5.6	15.6
5.6	16
5.6	16.3
5.6	16.2
5.6	16.1
5.6	16
5.7	16.1
5.7	16.2
5.7	16.3
5.7	16.3
5.7	16.3
5.7	16.3
5.7	16.6
5.7	16.8
5.7	17.1
5.7	16.7
5.7	16.4
5.8	16.1
5.8	16.1
5.8	16.1
5.8	16.2
5.8	16
5.8	15.9
5.8	15.8
5.9	15.9
5.9	15.9
5.9	16
5.9	15.9
5.9	15.7
5.8	15.6
5.9	15.7
5.9	15.7
5.9	15.8
5.9	15.9
5.8	16
5.7	16.1
5.7	15.4
5.7	14.8
5.7	14.2
5.7	14.1
5.8	14
5.8	13.9
5.8	13.9
5.9	14
5.9	14.1
6	14.4
6.1	14.8
6.1	15.1
6.2	15
6.2	15
6.2	14.9
6.3	14.5
6.3	14
6.3	13.5
6.3	13.4
6.3	13.3
6.3	13.2
6.3	13.3
6.4	13.4
6.5	13.4
6.4	13
6.4	12.6
6.4	12.2
6.4	12.2
6.4	12.2
6.4	12.3
6.4	12.2
6.4	12.2
6.4	12.2
6.4	12.1
6.4	12
6.4	12
6.4	12
6.3	12.1
6.3	12.2
6.3	12.2
6.3	12.2
6.3	12.2
6.3	12.2
6.2	12.2
6.2	12.1
6.2	12
6.2	11.9
6.2	11.8
6.2	11.8
6.2	11.8
6.2	11.8
6.2	12.1
6.2	12.5
6.2	12.8
6.2	12.8
6.3	12.7
6.3	12.7
6.4	12.6
6.4	12.5
6.4	12.3
6.4	12.1
6.4	11.8
6.4	11.6
6.4	12
6.4	12.5
6.4	12.9
6.5	13.2
6.5	13.5
6.5	13.7
6.4	13.3
6.3	12.9
6.2	12.5
6.2	12.5
6.2	12.5
6.1	12.5
6.1	12.9
6.2	13.2
6.2	13.5
6.2	14.1
6.2	14.6
6.3	15.2
6.3	15.3
6.3	15.5
6.3	15.7
6.3	15.8
6.3	15.9
6.4	16.1
6.4	16
6.4	16
6.4	16
6.4	15.9
6.5	15.9
6.5	15.9
6.6	16
6.6	16.1
6.6	16.2
6.6	15.8
6.6	15.5
6.7	15.2
6.6	15
6.6	14.9
6.6	14.8
6.6	14.8
6.7	14.7
6.7	14.7
6.7	14.7
6.7	14.8
6.7	14.9
6.6	14.8
6.6	14.7
6.6	14.6
6.6	14.3
6.6	14
6.6	13.8
6.5	13.7
6.4	13.6
6.3	13.5
6.3	13.6
6.4	13.7
6.4	13.8
6.4	13.8
6.4	13.8
6.4	13.8
6.4	13.4
6.4	13
6.3	12.6
6.3	12.3
